,ingredient,degree,sugar,base_spirit,occasion_id
53,"얼음,앱솔루트 보드카,드라이 버무스,스위트 버무스,비터즈",29,6,vodka,4
54,"앱솔루트 라즈베리,슈가시럽,레몬 주스,라즈베리,소다수",34,2,vodka,4
55,"얼음,앱솔루트 보드카,오렌지 주스,오렌지",30,2,vodka,15
56,"얼음,앱솔루트 보드카,블루 큐라소,라임 주스,슈가시럽,레몬,블루베리",37,3,vodka,4
57,"얼음,앱솔루트 보드카,라이트 럼,파인애플 주스,오렌지 주스,아마레또,오렌지",8,10,vodka|rum,4
58,"얼음,앱솔루트 보드카,신선한 애플 주스,사과즙,레몬 주스,슈가시럽,사과",13,8,vodka,4
59,"얼음,앱솔루트 워터멜론,소다수,수박,라임",32,1,vodka,22
60,"얼음,앱솔루트 보드카,멀드 스파이스,진저비어,레드 와인",31,0,vodka,22
61,"얼음,앱솔루트 맨드린,크랜베리 주스,트리플 섹,검붉은 오렌지 주스,라임 주스",19,6,vodka,15
62,"얼음,앱솔루트 페어,애플 주스,크랜베리 주스,라임",12,8,vodka,22
63,"잘게 부순 얼음,앱솔루트 망고,슈가시럽,라임,민트,망고",36,1,vodka,14
64,"얼음,앱솔루트 망고,소다수,라임 주스,망고",25,3,vodka,22
65,"얼음,앱솔루트 워터멜론,슈가시럽,수박",36,2,vodka,22
66,"얼음,앱솔루트 바니리아,콜라,라임",29,2,vodka,15
67,"얼음,앱솔루트 주스 스트로베리,소다수,딸기",11,7,vodka,14
68,"얼음,앱솔루트 보드카,콜라,라임",18,6,vodka,22
69,"얼음,앱솔루트 보드카,드라이 버무스,오렌지 비터즈,석류즙",37,0,vodka,4
70,"얼음,앱솔루트 바니리아,패션 프루트 주스,레몬 주스,패션 프루트 리큐어,슈가시럽,딸기,파인애플,바닐라",17,12,vodka,14
71,"얼음,앱솔루트 페어,레몬 주스,사이다,레몬,빨대",39,0,vodka,14
72,"얼음,앱솔루트 그레이프프루트,소다수,크랜베리 주스,레몬",20,5,vodka,4
73,"얼음,앱솔루트 시트론,코코넛 워터,라임 주스,비터즈,파인애플",32,0,vodka,5
74,"얼음,앱솔루트 바니리아,말리부 럼,패션 프루트 주스,파인애플",10,11,vodka,22
75,"얼음,앱솔루트 망고,라임 주스,진저비어,망고",36,0,vodka,14
76,"앱솔루트 보드카,토마토 주스,서양고추냉이,핫 소스,우스터 소스,레몬 주스,레몬,셀러리",29,1,vodka,14
77,"얼음,앱솔루트 보드카,라이치 리큐어,블루 큐라소,바이올렛 리큐어,식용 꽃,민트",29,12,vodka,4
78,"얼음,앱솔루트 보드카,블루베리 리큐어,슈가시럽,블루베리",39,0,vodka,14
79,"얼음,앱솔루트 보드카,블루베리 리큐어,라임 주스,슈가시럽,블루베리",30,1,vodka,14
80,"얼음,앱솔루트 보드카,레몬에이드,아이스 티,라임",32,2,vodka,14
81,"얼음,앱솔루트 보드카,깔루아,체리",28,10,vodka,14
82,"얼음,앱솔루트 보드카,클라마토,핫 소스,우스터 소스,셀러리,레몬",30,0,vodka,21
83,"얼음,앱솔루트 패션프루트,패션프루트 퓨레,바닐라 시럽,딸기",35,1,vodka,22
84,"얼음,앱솔루트 워터멜론,소다수,수박,라임",12,7,vodka,22
85,"얼음,앱솔루트 보드카,오렌지 주스,석류즙,오렌지",30,2,vodka,14
86,"얼음,앱솔루트 보드카,복숭아 퓌레,샴페인",20,7,vodka|champagne,14
87,"얼음,앱솔루트 보드카,크랜베리 주스,라임",30,3,vodka,22
88,"얼음,앱솔루트 보드카,크림,깔루아,우유,아마레또",11,8,vodka,15
89,"얼음,앱솔루트 워터멜론,사이다,수박,라임",32,1,vodka,22
90,"얼음,앱솔루트 바니리아,에스프레소,깔루아,바닐라,커피 콩",34,1,vodka,15
91,"얼음,앱솔루트 라임,토닉 워터,라임 주스,라임",32,0,vodka,22
92,"잘게 부순 얼음,앱솔루트 보드카,스카치 위스키,슈가시럽,레몬,파인애플,세이지",38,1,vodka|whisky,20
93,"잘게 부순 얼음,앱솔루트 보드카,블랙 커런트 리큐어,슈가시럽,라임,라즈베리,블랙베리",39,0,vodka,14
94,"얼음,앱솔루트 페퍼,토마토 주스,핫 소스,우스터 소스,레몬 주스,라임 주스,블랙페퍼 가루,소금,셀러리,레몬",18,4,vodka,14
95,"얼음,앱솔루트 보드카,멜론 리큐어,파인애플 주스,멜론",33,6,vodka,14
96,"얼음,앱솔루트 워터멜론,레몬 주스,슈가시럽,수박,소다수,민트",18,0,vodka,22
97,"얼음,앱솔루트 주스 페어 & 엘더플라워,레몬에이드,하드 사이다",28,1,vodka|whisky,22
98,"얼음,앱솔루트 보드카,진저엘,민트잎,레몬",13,2,vodka,22
99,"얼음,앱솔루트 그레이프프루트,자몽주스,자몽 껍질",33,2,vodka,14
100,"얼음,앱솔루트 바니리아,라임 주스,사이다,라임",37,0,vodka,14
101,"얼음,앱솔루트 그레이프프루트,토닉 워터,그레이프프루트",32,0,vodka,14
102,"얼음,앱솔루트 페어,레몬 주스,슈가시럽,배",20,8,vodka,13
103,"얼음,앱솔루트 맨드린,파인애플 주스,크랜베리 주스,진저엘,레몬,라임",10,7,vodka,4
104,"얼음,앱솔루트 바니리아,라즈베리,사이다,라임",38,0,vodka,22
105,"얼음,앱솔루트 주스 스트로베리,장미 스파클링 와인,소다수,딸기",15,3,vodka,14
106,"얼음,앱솔루트 보드카,화이트 크랜베리 주스,바이올렛 리큐어,라임 주스",3,0,vodka,14
107,"얼음,앱솔루트 그레이프프루트,레몬 주스,딱총나무 꽃 코디얼,라이치 리큐어,진저 시럽,자몽 껍질",20,8,vodka,14
108,"얼음,앱솔루트 보드카,화이트 크렘 드 망트",38,0,vodka,14
109,"얼음,앱솔루트 어피치,소다수,라임 주스,복숭아",26,3,vodka,22
110,"얼음,앱솔루트 보드카,소다수,라임",40,0,vodka,22
111,"얼음,앱솔루트 보드카,레몬 주스,슈가시럽,크렘 드 뮈르,블랙베리",17,7,vodka,14
112,"얼음,앱솔루트 엘릭스,차가운 장미차,릴렛 블랑,레몬 주스,오렌지 블라썸 꿀,오렌지",9,8,vodka,15
113,"앱솔루트 보드카,스파클링 와인",18,11,vodka,22
114,"얼음,앱솔루트 보드카,블루 큐라소,복숭아 슈납스",38,0,vodka,14
115,"얼음,앱솔루트 그레이프프루트,크랜베리 주스,오렌지",20,6,vodka,17
116,"얼음,앱솔루트 체리,라임 주스,체리 리큐어,복숭아 시럽,체리",38,1,vodka,13
117,"얼음,앱솔루트 맨드린,레몬 주스,패션 프루트 시럽,슈가시럽,오렌지",36,3,vodka,4
118,"얼음,앱솔루트 망고,앱솔루트 페퍼,레몬 주스,망고 퓌레,슈가시럽,할라피뇨",33,2,vodka,14
119,"얼음,앱솔루트 보드카,완두콩과 슬픈 허브 시럽,토마티요 주스,시트러스 껍질 올리브 브라인,고수 가루",36,0,vodka,3
120,"얼음,앱솔루트 보드카,레몬 주스,패션프루트 퓨레,소다수,패션 프루트",36,0,vodka,14
121,"얼음,앱솔루트 보드카,로렘 입숨,알로에 베라 주스,레몬 주스,아보카도,스테비아,오이",11,0,vodka,22
122,"얼음,앱솔루트 시트론,석류 주스,트리플 섹,라임 주스,오렌지 껍질",37,1,vodka,4
123,"얼음,앱솔루트 보드카,맥주,라임 주스,핫 소스,우스터 소스,소금,라임",1,4,vodka,22
124,"얼음,앱솔루트 보드카,드라이 버무스,그린 올리브",39,0,vodka,14
125,"얼음,앱솔루트 보드카,릴레 로제,라임 주스,슈가시럽,크랜베리,소다수,어린 가지 로즈마리",2,3,vodka,9
126,"얼음,앱솔루트 보드카,파인애플 주스,레몬 주스,슈가시럽,소다수",34,2,vodka,15
127,"얼음,앱솔루트 라즈베리,레몬 주스,슈가시럽,블랙 라즈베리 리큐어,소다수,라즈베리",34,2,vodka,14
128,"얼음,앱솔루트 페어,사이다,레몬",30,2,vodka,15
129,"얼음,앱솔루트 맨드린,소다수,라임 주스,오렌지",26,3,vodka,22
130,"얼음,앱솔루트 보드카,토마토 주스,레몬 주스,블랙페퍼 가루,소금,레몬",18,4,vodka,22
131,"얼음,앱솔루트 주스 스트로베리,레몬에이드,크랜베리 주스,소다수,레몬",32,1,vodka,4
132,"얼음,앱솔루트 주스 페어 & 엘더플라워,소다수,스파클링 와인,배",15,8,vodka,22
133,"얼음,앱솔루트 주스 애플,레몬 주스,슈가시럽,소다수",21,7,vodka,18
134,"얼음,앱솔루트 라임,칼바도스,라마조티,라임",23,6,vodka,22
135,"얼음,앱솔루트 망고,오렌지 주스,망고",29,2,vodka,14
136,"얼음,앱솔루트 보드카,오렌지 주스,오렌지",18,4,vodka,22
137,"얼음,앱솔루트 보드카,네들 티,라임 주스,네들 코디얼,소다수,어린 가지 민트",16,0,vodka,22
138,"얼음,앱솔루트 보드카,크랜베리 주스,파인애플 주스,패션 프루트 리큐어,라임",22,5,vodka,14
139,"얼음,앱솔루트 보드카,멜론 리큐어,슈가시럽,멜론",38,2,vodka,14
140,"얼음,앱솔루트 보드카,드라이 버무스,레몬 주스,토닉 워터,그레이프프루트",19,0,vodka,14
141,"얼음,앱솔루트 보드카,블루 큐라소,파스티스",39,1,vodka,14
142,"얼음,앱솔루트 그레이프프루트,소다수,그레이프프루트",40,0,vodka,22
143,"얼음,앱솔루트 라즈베리,레몬 주스,슈가시럽,라즈베리",19,8,vodka,22
144,"얼음,앱솔루트 보드카,아페롤,크랜베리 주스,레몬첼로,레몬 주스,크랜베리",16,8,vodka,14
145,"얼음,앱솔루트 라즈베리,소다수,라임 주스,라임,라즈베리",25,3,vodka,22
146,"앱솔루트 보드카,슈가시럽,딸기",38,1,vodka,4
147,"얼음,앱솔루트 보드카,드라이 버무스,그린 올리브",40,0,vodka,14
148,"얼음,앱솔루트 보드카,사이다,라임",18,4,vodka,22
149,"얼음,앱솔루트 맨드린,복숭아 퓌레,라임 주스,복숭아",37,0,vodka,14
150,"얼음,앱솔루트 맨드린,오렌지 주스,트리플 섹,오렌지",3,9,vodka,22
151,"얼음,앱솔루트 페어,라임 주스,진저비어,배",38,0,vodka,14
152,"얼음,앱솔루트 어피치,샹보르,크림,복숭아 리큐어",23,6,vodka,14
153,"얼음,앱솔루트 보드카,라이트 오렌지 주스,크랜베리 주스,복숭아 리큐어,라임",1,6,vodka,14
154,"얼음,앱솔루트 시트론,크랜베리 주스,트리플 섹,슈가시럽,오렌지",31,4,vodka,22
155,"얼음,앱솔루트 워터멜론,슈가시럽,수박",36,2,vodka,22
156,"얼음,앱솔루트 보드카,핑크 그레이프프루트 주스,릴렛 블랑,레몬 주스,정제된 설탕",33,0,vodka,13
157,"얼음,앱솔루트 보드카,레몬 주스,레몬첼로,슈가시럽,바질,토닉 워터",17,9,vodka,14
158,"얼음,앱솔루트 보드카,망고 퓌레,자몽주스,트리플 섹,망고",36,2,vodka,14
159,"얼음,앱솔루트 시트론,화이트 크랜베리 주스,블루 큐라소,라임 주스,레몬 껍질",36,0,vodka,14
160,"얼음,앱솔루트 페퍼,레몬 주스,슈가시럽,레몬",19,8,vodka,22
161,"얼음,앱솔루트 주스 애플,진저엘,오렌지 주스,라임",11,3,vodka,18
162,"얼음,앱솔루트 망고,레몬 주스,슈가시럽,계란 흰자,망고",34,1,vodka,15
163,"얼음,앱솔루트 라임,레몬 주스,슈가시럽,라임",20,8,vodka,22
164,"얼음,잘게 부순 얼음,앱솔루트 보드카,레몬 주스,슈가시럽,블랙 커런트 리큐어,샴페인",34,3,vodka|champagne,14
165,"앱솔루트 보드카,소다수,레몬",30,2,vodka,14
166,"앱솔루트 보드카,슈가시럽,수박",38,2,vodka,22
167,"얼음,앱솔루트 보드카,진저비어,블루베리,딸기",40,0,vodka,22
168,"얼음,앱솔루트 워터멜론,레몬에이드,나선형 오이,어린 가지 민트",12,8,vodka,22
169,"앱솔루트 보드카,파인애플 주스,파인애플",13,8,vodka,15
170,"얼음,앱솔루트 보드카,애플 주스,블루 큐라소,레몬",30,3,vodka,15
171,"잘게 부순 얼음,앱솔루트 보드카,꿀,레몬 주스,샴페인",36,3,vodka|champagne,14
172,"얼음,앱솔루트 라임,라임 주스,아가베 넥타,소금",37,0,vodka,19
173,"얼음,앱솔루트 보드카,사과즙,신선한 애플 주스,계피 슈납스 리큐어,레몬 주스,슈가시럽",11,10,vodka,14
174,"얼음,앱솔루트 보드카,크림 리큐어,깔루아",20,18,vodka,22
175,"얼음,앱솔루트 엘릭스,릴렛 블랑,레몬 껍질",41,0,vodka,4
176,"얼음,앱솔루트 큐란트,애플 주스,석류 주스,블루베리",18,0,vodka,14
177,"얼음,앱솔루트 바니리아,다크 카카오 리큐어,크림,너트맥",21,1,vodka,13
178,"얼음,앱솔루트 보드카,석류즙,라임 주스,토닉 워터,레몬",35,1,vodka,14
179,"얼음,앱솔루트 보드카,클로브 비터스,릴렛 블랑,설탕 시럽,오렌지",38,0,vodka,22
180,"앱솔루트 보드카,황설탕,라즈베리",39,0,vodka,14
181,"얼음,앱솔루트 바니리아,소다수,라임 주스,라임,바닐라",25,3,vodka,22
182,"잘게 부순 얼음,앱솔루트 보드카,블랙 커런트 리큐어,라즈베리 퓌레,레몬 주스,슈가시럽,샴페인,블랙베리",16,17,vodka|champagne,14
183,"얼음,앱솔루트 보드카,라임 주스,핫 소스,진저비어,라임",38,0,vodka,4
184,"잘게 부순 얼음,앱솔루트 보드카,수박,슈가시럽,라임 주스",24,11,vodka,13
185,"얼음,앱솔루트 맨드린,오렌지 주스,크랜베리 주스,라임,오렌지",12,7,vodka,4
186,"얼음,앱솔루트 시트론,소다수,라임 주스,라임,레몬",29,2,vodka,22
187,"얼음,앱솔루트 라즈베리,화이트 카카오 리큐어,슈가시럽,라즈베리",26,13,vodka,13
188,"얼음,앱솔루트 시트론,레몬 주스,트리플 섹,슈가시럽,레몬 껍질",25,13,vodka,14
189,"얼음,앱솔루트 망고,레몬 주스,슈가시럽,망고",19,8,vodka,22
190,"얼음,앱솔루트 어피치,파인애플 리큐어,오렌지 소다,복숭아",8,0,vodka,14
191,"얼음,앱솔루트 바니리아,애플 주스,레몬 주스,스위트 버무스,슈가시럽,패션 프루트",34,1,vodka,4
192,"얼음,앱솔루트 그레이프프루트,화이트 와인,레몬 주스,아가베 넥타,포도",22,2,vodka,16
193,"얼음,앱솔루트 그레이프프루트,라임 주스,진저비어,그레이프프루트",38,0,vodka,4
194,"얼음,앱솔루트 보드카,토닉 워터,라임",18,0,vodka,21
195,"얼음,앱솔루트 바니리아,애플 주스,레몬 주스,슈가시럽,사과,계피",16,10,vodka,13
196,"얼음,앱솔루트 바니리아,에그 노그,콜드 브루 커피,깔루아",30,0,vodka,9
197,"얼음,앱솔루트 루비 레드,크랜베리 주스,크렘 드 피치,노일리 프라트,그레이프프루트",17,6,vodka,15
198,"얼음,진(올드 톰),앱솔루트 엘릭스,릴렛 블랑,레몬 껍질",42,0,vodka,7
199,"얼음,앱솔루트 보드카,블루 큐라소,엘더플라워 리큐르,레몬 주스,토닉 워터,레몬",23,7,vodka,4
200,"얼음,앱솔루트 보드카,라이치 리큐어,슈가시럽,샴페인,라이치",38,1,vodka|champagne,14
201,"얼음,앱솔루트 보드카,커피 원두,우유,슈가시럽",34,1,vodka,21
202,"얼음,앱솔루트 보드카,크림 리큐어,깔루아",25,13,vodka,15
203,"얼음,앱솔루트 보드카,레몬 주스,복숭아 리큐어,크랜베리 주스",38,0,vodka,14
204,"얼음,앱솔루트 라즈베리,우유,딸기 리큐어",3,4,vodka,15
205,"얼음,앱솔루트 그레이프프루트,콜드 브루 커피,슈가시럽,그레이프프루트",23,0,vodka,21
206,"얼음,앱솔루트 어피치,아이스 티,레몬",30,3,vodka,14
207,"얼음,앱솔루트 보드카,오이,레몬 주스,설탕 시럽,릴렛 블랑,수즈,샴페인,어린 가지 민트",34,0,vodka|champagne,22
208,"얼음,앱솔루트 그레이프프루트,민트 시럽,레몬,소다수,어린 가지 민트",37,0,vodka,14
209,"얼음,말리부 럼,앱솔루트 보드카,레몬에이드,민트",2,12,vodka,14
210,"얼음,앱솔루트 주스 애플,소다수,스파클링 와인,사과",15,8,vodka,14
211,"얼음,앱솔루트 바니리아,사과즙,라임 주스,사이다,라임",13,2,vodka,14
212,"얼음,앱솔루트 패션프루트,검붉은 오렌지 주스,라임 주스,슈가시럽,패션 프루트",33,2,vodka,22
213,"얼음,앱솔루트 바니리아,아마레또,우유,아몬드,초콜릿,바닐라",19,6,vodka,14
214,"얼음,말리부 럼,앱솔루트 보드카,아이스 티,소다수,오렌지",20,13,vodka,14
215,"얼음,앱솔루트 보드카,오렌지 주스,트리플 섹,캄파리,슈가시럽,오렌지",3,10,vodka,15
216,"얼음,앱솔루트 워터멜론,라임 주스,슈가시럽,소다수,바질",33,3,vodka,22
217,"얼음,앱솔루트 보드카,크림,크림 리큐어,깔루아",19,10,vodka,15
218,"얼음,앱솔루트 맨드린,자몽주스,크랜베리 주스,라임",13,8,vodka,13
219,"얼음,앱솔루트 100,라마조티,깔루아,그레이프프루트",45,1,vodka,22
220,"앱솔루트 바니리아,패션프루트 퓨레,바닐라 시럽,파인애플,패션 프루트",35,1,vodka,14
221,"얼음,앱솔루트 보드카,라즈베리 퓌레,소다수,라즈베리,레몬",38,1,vodka,14
222,"얼음,앱솔루트 보드카,비프 콩소메,레몬 주스,우스터 소스,핫 소스",29,0,vodka,15
223,"얼음,앱솔루트 패션프루트,매실주,라임 주스,설탕 시럽,그레이프프루트",35,0,vodka,22
224,"앱솔루트 보드카,커피,레드 와인,슈가시럽",13,0,vodka,14
225,"얼음,앱솔루트 보드카,깔루아,체리 시럽,콜라,체리",24,5,vodka,4
226,"얼음,앱솔루트 라임,소다수,라임 주스,라임",34,1,vodka,22
227,"얼음,앱솔루트 보드카,오렌지 주스,라즈베리 주스,캄파리,레몬첼로,사이다,레몬,어린 가지 민트,라즈베리,블랙베리",1,8,vodka,14
228,"얼음,앱솔루트 큐란트,앱솔루트 시트론,라임 주스,진저비어,어린 가지 블랙 커런트",25,2,vodka,14
229,"얼음,앱솔루트 보드카,블루 큐라소,레몬에이드,레몬",34,11,vodka,14
230,"얼음,잘게 부순 얼음,앱솔루트 큐란트,크렘 드 카시스,레몬 주스,블랙 커런트 리큐어",32,13,vodka,14
231,"얼음,앱솔루트 보드카,코코넛 크림,바닐라 아이스크림,아몬드향 리큐어,체리",10,8,vodka,14
232,"얼음,앱솔루트 바니리아,레몬 주스,레몬첼로,버터스카치 슈납스,바닐라 시럽",35,1,vodka,14
233,"얼음,앱솔루트 페퍼,소다수,라임 주스,라임,칠레 고추",28,2,vodka,14
234,"얼음,앱솔루트 라임,애플 주스,라임 주스,슈가시럽,말차 파우더,어린 가지 민트",19,5,vodka,3
235,"얼음,앱솔루트 그레이프프루트,소다수,그레이프프루트",18,6,vodka,17
236,"얼음,앱솔루트 망고,레몬 주스,슈가시럽,레몬",34,1,vodka,14
237,"얼음,앱솔루트 보드카,크랜베리 주스,석류 주스,라임 주스,오렌지",31,1,vodka,4
238,"얼음,앱솔루트 라즈베리,트리플 섹,자몽주스,레몬 주스,그레이프프루트,라즈베리",34,11,vodka,14
239,"얼음,앱솔루트 라임,수박 주스,라임 주스,슈가시럽,민트",31,1,vodka,4
240,"얼음,앱솔루트 맨드린,앱솔루트 라즈베리,라임 주스,진저비어,라임",28,1,vodka,14
241,"얼음,앱솔루트 큐란트,트리플 섹,라임 주스,크랜베리 주스,라임",35,2,vodka,15
242,"앱솔루트 시트론,레몬,패션 프루트,황설탕",37,0,vodka,15
243,"얼음,앱솔루트 시트론,엘더플라워 리큐르,레몬 주스,소다수,레몬",38,0,vodka,4
244,"얼음,앱솔루트 보드카,파인애플 시럽,릴렛 블랑,마라스키노 리큐어,바닐라 아이스크림,샴페인",16,6,vodka|champagne,15
245,"앱솔루트 맨드린,크랜베리 주스(핫),오렌지",30,0,vodka,14
246,"얼음,잘게 부순 얼음,앱솔루트 맨드린,갈리아노,레몬 주스",28,5,vodka,14
247,"얼음,앱솔루트 맨드린,오렌지 주스,크랜베리 주스,트리플 섹,오렌지",16,11,vodka,14
248,"얼음,앱솔루트 맨드린,오렌지 맛 브랜디,크림,우유,슈가시럽",22,7,vodka,15
249,"얼음,앱솔루트 바니리아,오렌지 주스,석류즙,오렌지",28,2,vodka,14
250,"얼음,앱솔루트 페어,망고 퓌레,슈가시럽,레몬 주스,소다수,레몬",19,8,vodka,14
251,"얼음,앱솔루트 패션프루트,망고 주스,라임 주스,사이다,라임,파인애플",12,11,vodka,22
252,"얼음,앱솔루트 100,깔루아,마라스키노 베리",38,6,vodka,22
253,"얼음,앱솔루트 보드카,블랙 라즈베리 리큐어,딸기 리큐어,블랙 커런트 리큐어,크림",26,9,vodka,13
254,"얼음,앱솔루트 페퍼,라즈베리 리큐어,크랜베리 주스,라즈베리",38,0,vodka,14
255,"얼음,앱솔루트 맨드린,진저엘,오렌지",30,0,vodka,14
256,"얼음,앱솔루트 보드카,드라이 버무스,진,비터즈",33,0,vodka|gin,15
257,"얼음,앱솔루트 보드카,파인애플 주스,라즈베리 리큐어,파인애플",20,6,vodka,4
258,"얼음,앱솔루트 라즈베리,진,블랙베리 리큐어",30,9,vodka|gin,14
259,"얼음,앱솔루트 보드카,레몬 주스,슈가시럽,소다수,체리,오렌지",36,1,vodka,14
260,"얼음,앱솔루트 라임,트리플 섹,크랜베리 주스,라임 주스,라임",23,11,vodka,2
261,"얼음,앱솔루트 워터멜론,콜라,라임,수박",32,1,vodka,22
262,"얼음,앱솔루트 엘릭스,자몽주스,아몬드 시럽,진저비어,아페롤,민트,그레이프프루트",11,16,vodka,22
263,"앱솔루트 워터멜론,라임,수박",38,0,vodka,22
264,"얼음,앱솔루트 라즈베리,라즈베리 리큐어,화이트 초콜릿 리큐어,크림",24,8,vodka,14
265,"잘게 부순 얼음,앱솔루트 보드카,크림,우유,바닐라 시럽,바나나",35,2,vodka,14
266,"얼음,앱솔루트 시트론,망고 퓌레,라임 주스,망고",38,0,vodka,14
267,"얼음,앱솔루트 보드카,체리 리큐어,레몬 주스,오렌지 주스,바나나 리큐어,바나나,마라스키노 베리",19,7,vodka,22
268,"얼음,앱솔루트 엘릭스,배 주스,차가운 랍상 수총 차,레몬 주스,슈가시럽,칼바도스,배 에센스,말린 레몬",10,7,vodka,15
