id,ingredient,degree,sugar,base_spirit,저녁 술,오후 술,식전 술,식후 술
88,"얼음,앱솔루트 보드카,크랜베리 주스,라임",3,2,vodka,0,0,0,0
89,"얼음,앱솔루트 보드카,크림,깔루아,우유,아마레또",2,3,vodka,1,0,0,0
90,"얼음,앱솔루트 워터멜론,사이다,수박,라임",4,2,vodka,0,0,0,0
91,"얼음,앱솔루트 바니리아,에스프레소,깔루아,바닐라,커피 콩",4,2,vodka,1,0,0,0
92,"얼음,앱솔루트 라임,토닉 워터,라임 주스,라임",4,1,vodka,0,0,0,0
93,"잘게 부순 얼음,앱솔루트 보드카,스카치 위스키,슈가시럽,레몬,파인애플,세이지",4,2,vodka|whisky,0,0,0,0
94,"잘게 부순 얼음,앱솔루트 보드카,블랙 커런트 리큐어,슈가시럽,라임,라즈베리,블랙베리",4,1,vodka,0,1,0,0
95,"얼음,앱솔루트 페퍼,토마토 주스,핫 소스,우스터 소스,레몬 주스,라임 주스,블랙페퍼 가루,소금,셀러리,레몬",2,3,vodka,0,1,0,0
96,"얼음,앱솔루트 보드카,멜론 리큐어,파인애플 주스,멜론",4,3,vodka,0,1,0,0
97,"얼음,앱솔루트 워터멜론,레몬 주스,슈가시럽,수박,소다수,민트",2,1,vodka,0,0,0,0
98,"얼음,앱솔루트 주스 페어 & 엘더플라워,레몬에이드,하드 사이다",3,2,vodka|whisky,0,0,0,0
99,"얼음,앱솔루트 보드카,진저엘,민트잎,레몬",2,2,vodka,0,0,0,0
100,"얼음,앱솔루트 그레이프프루트,자몽주스,자몽 껍질",4,2,vodka,0,1,0,0
101,"얼음,앱솔루트 바니리아,라임 주스,사이다,라임",4,1,vodka,0,1,0,0
102,"얼음,앱솔루트 그레이프프루트,토닉 워터,그레이프프루트",4,1,vodka,0,1,0,0
103,"얼음,앱솔루트 페어,레몬 주스,슈가시럽,배",2,3,vodka,0,0,0,1
104,"얼음,앱솔루트 맨드린,파인애플 주스,크랜베리 주스,진저엘,레몬,라임",1,3,vodka,0,0,1,0
105,"얼음,앱솔루트 바니리아,라즈베리,사이다,라임",4,1,vodka,0,0,0,0
106,"얼음,앱솔루트 주스 스트로베리,장미 스파클링 와인,소다수,딸기",2,2,vodka,0,1,0,0
107,"얼음,앱솔루트 보드카,화이트 크랜베리 주스,바이올렛 리큐어,라임 주스",1,1,vodka,0,1,0,0
108,"얼음,앱솔루트 그레이프프루트,레몬 주스,딱총나무 꽃 코디얼,라이치 리큐어,진저 시럽,자몽 껍질",2,3,vodka,0,1,0,0
109,"얼음,앱솔루트 보드카,화이트 크렘 드 망트",4,1,vodka,0,1,0,0
110,"얼음,앱솔루트 어피치,소다수,라임 주스,복숭아",3,2,vodka,0,0,0,0
111,"얼음,앱솔루트 보드카,소다수,라임",4,1,vodka,0,0,0,0
112,"얼음,앱솔루트 보드카,레몬 주스,슈가시럽,크렘 드 뮈르,블랙베리",2,3,vodka,0,1,0,0
113,"얼음,앱솔루트 엘릭스,차가운 장미차,릴렛 블랑,레몬 주스,오렌지 블라썸 꿀,오렌지",1,3,vodka,1,0,0,0
114,"앱솔루트 보드카,스파클링 와인",2,4,vodka,0,0,0,0
115,"얼음,앱솔루트 보드카,블루 큐라소,복숭아 슈납스",4,1,vodka,0,1,0,0
116,"얼음,앱솔루트 그레이프프루트,크랜베리 주스,오렌지",2,3,vodka,0,0,0,0
117,"얼음,앱솔루트 체리,라임 주스,체리 리큐어,복숭아 시럽,체리",4,2,vodka,0,0,0,1
118,"얼음,앱솔루트 맨드린,레몬 주스,패션 프루트 시럽,슈가시럽,오렌지",4,2,vodka,0,0,1,0
119,"얼음,앱솔루트 망고,앱솔루트 페퍼,레몬 주스,망고 퓌레,슈가시럽,할라피뇨",4,2,vodka,0,1,0,0
120,"얼음,앱솔루트 보드카,완두콩과 슬픈 허브 시럽,토마티요 주스,시트러스 껍질 올리브 브라인,고수 가루",4,1,vodka,0,0,0,0
121,"얼음,앱솔루트 보드카,레몬 주스,패션프루트 퓨레,소다수,패션 프루트",4,1,vodka,0,1,0,0
122,"얼음,앱솔루트 보드카,로렘 입숨,알로에 베라 주스,레몬 주스,아보카도,스테비아,오이",2,1,vodka,0,0,0,0
123,"얼음,앱솔루트 시트론,석류 주스,트리플 섹,라임 주스,오렌지 껍질",4,2,vodka,0,0,1,0
124,"얼음,앱솔루트 보드카,맥주,라임 주스,핫 소스,우스터 소스,소금,라임",1,3,vodka,0,0,0,0
125,"얼음,앱솔루트 보드카,드라이 버무스,그린 올리브",4,1,vodka,0,1,0,0
126,"얼음,앱솔루트 보드카,릴레 로제,라임 주스,슈가시럽,크랜베리,소다수,어린 가지 로즈마리",1,2,vodka,0,0,0,0
127,"얼음,앱솔루트 보드카,파인애플 주스,레몬 주스,슈가시럽,소다수",4,2,vodka,1,0,0,0
128,"얼음,앱솔루트 라즈베리,레몬 주스,슈가시럽,블랙 라즈베리 리큐어,소다수,라즈베리",4,2,vodka,0,1,0,0
129,"얼음,앱솔루트 페어,사이다,레몬",3,2,vodka,1,0,0,0
130,"얼음,앱솔루트 맨드린,소다수,라임 주스,오렌지",3,2,vodka,0,0,0,0
131,"얼음,앱솔루트 보드카,토마토 주스,레몬 주스,블랙페퍼 가루,소금,레몬",2,3,vodka,0,0,0,0
132,"얼음,앱솔루트 주스 스트로베리,레몬에이드,크랜베리 주스,소다수,레몬",4,2,vodka,0,0,1,0
133,"얼음,앱솔루트 주스 페어 & 엘더플라워,소다수,스파클링 와인,배",2,3,vodka,0,0,0,0
134,"얼음,앱솔루트 주스 애플,레몬 주스,슈가시럽,소다수",3,3,vodka,0,0,0,0
135,"얼음,앱솔루트 라임,칼바도스,라마조티,라임",3,3,vodka,0,0,0,0
136,"얼음,앱솔루트 망고,오렌지 주스,망고",3,2,vodka,0,1,0,0
137,"얼음,앱솔루트 보드카,오렌지 주스,오렌지",2,3,vodka,0,0,0,0
138,"얼음,앱솔루트 보드카,네들 티,라임 주스,네들 코디얼,소다수,어린 가지 민트",2,1,vodka,0,0,0,0
139,"얼음,앱솔루트 보드카,크랜베리 주스,파인애플 주스,패션 프루트 리큐어,라임",3,3,vodka,0,1,0,0
140,"얼음,앱솔루트 보드카,멜론 리큐어,슈가시럽,멜론",4,2,vodka,0,1,0,0
141,"얼음,앱솔루트 보드카,드라이 버무스,레몬 주스,토닉 워터,그레이프프루트",2,1,vodka,0,1,0,0
142,"얼음,앱솔루트 보드카,블루 큐라소,파스티스",4,2,vodka,0,1,0,0
143,"얼음,앱솔루트 그레이프프루트,소다수,그레이프프루트",4,1,vodka,0,0,0,0
144,"얼음,앱솔루트 라즈베리,레몬 주스,슈가시럽,라즈베리",2,3,vodka,0,0,0,0
145,"얼음,앱솔루트 보드카,아페롤,크랜베리 주스,레몬첼로,레몬 주스,크랜베리",2,3,vodka,0,1,0,0
146,"얼음,앱솔루트 라즈베리,소다수,라임 주스,라임,라즈베리",3,2,vodka,0,0,0,0
147,"앱솔루트 보드카,슈가시럽,딸기",4,2,vodka,0,0,1,0
148,"얼음,앱솔루트 보드카,드라이 버무스,그린 올리브",4,1,vodka,0,1,0,0
149,"얼음,앱솔루트 보드카,사이다,라임",2,3,vodka,0,0,0,0
150,"얼음,앱솔루트 맨드린,복숭아 퓌레,라임 주스,복숭아",4,1,vodka,0,1,0,0
151,"얼음,앱솔루트 맨드린,오렌지 주스,트리플 섹,오렌지",1,4,vodka,0,0,0,0
152,"얼음,앱솔루트 페어,라임 주스,진저비어,배",4,1,vodka,0,1,0,0
153,"얼음,앱솔루트 어피치,샹보르,크림,복숭아 리큐어",3,3,vodka,0,1,0,0
154,"얼음,앱솔루트 보드카,라이트 오렌지 주스,크랜베리 주스,복숭아 리큐어,라임",1,3,vodka,0,1,0,0
155,"얼음,앱솔루트 시트론,크랜베리 주스,트리플 섹,슈가시럽,오렌지",4,3,vodka,0,0,0,0
156,"얼음,앱솔루트 워터멜론,슈가시럽,수박",4,2,vodka,0,0,0,0
157,"얼음,앱솔루트 보드카,핑크 그레이프프루트 주스,릴렛 블랑,레몬 주스,정제된 설탕",4,1,vodka,0,0,0,1
158,"얼음,앱솔루트 보드카,레몬 주스,레몬첼로,슈가시럽,바질,토닉 워터",2,4,vodka,0,1,0,0
159,"얼음,앱솔루트 보드카,망고 퓌레,자몽주스,트리플 섹,망고",4,2,vodka,0,1,0,0
160,"얼음,앱솔루트 시트론,화이트 크랜베리 주스,블루 큐라소,라임 주스,레몬 껍질",4,1,vodka,0,1,0,0
161,"얼음,앱솔루트 페퍼,레몬 주스,슈가시럽,레몬",2,3,vodka,0,0,0,0
162,"얼음,앱솔루트 주스 애플,진저엘,오렌지 주스,라임",2,2,vodka,0,0,0,0
163,"얼음,앱솔루트 망고,레몬 주스,슈가시럽,계란 흰자,망고",4,2,vodka,1,0,0,0
164,"얼음,앱솔루트 라임,레몬 주스,슈가시럽,라임",2,3,vodka,0,0,0,0
165,"얼음,잘게 부순 얼음,앱솔루트 보드카,레몬 주스,슈가시럽,블랙 커런트 리큐어,샴페인",4,2,vodka|champagne,0,1,0,0
166,"앱솔루트 보드카,소다수,레몬",3,2,vodka,0,1,0,0
167,"앱솔루트 보드카,슈가시럽,수박",4,2,vodka,0,0,0,0
168,"얼음,앱솔루트 보드카,진저비어,블루베리,딸기",4,1,vodka,0,0,0,0
169,"얼음,앱솔루트 워터멜론,레몬에이드,나선형 오이,어린 가지 민트",2,3,vodka,0,0,0,0
170,"앱솔루트 보드카,파인애플 주스,파인애플",2,3,vodka,1,0,0,0
171,"얼음,앱솔루트 보드카,애플 주스,블루 큐라소,레몬",3,2,vodka,1,0,0,0
172,"잘게 부순 얼음,앱솔루트 보드카,꿀,레몬 주스,샴페인",4,2,vodka|champagne,0,1,0,0
173,"얼음,앱솔루트 라임,라임 주스,아가베 넥타,소금",4,1,vodka,0,0,0,0
174,"얼음,앱솔루트 보드카,사과즙,신선한 애플 주스,계피 슈납스 리큐어,레몬 주스,슈가시럽",2,4,vodka,0,1,0,0
175,"얼음,앱솔루트 보드카,크림 리큐어,깔루아",2,5,vodka,0,0,0,0
176,"얼음,앱솔루트 엘릭스,릴렛 블랑,레몬 껍질",5,1,vodka,0,0,1,0
177,"얼음,앱솔루트 큐란트,애플 주스,석류 주스,블루베리",2,1,vodka,0,1,0,0
178,"얼음,앱솔루트 바니리아,다크 카카오 리큐어,크림,너트맥",3,2,vodka,0,0,0,1
179,"얼음,앱솔루트 보드카,석류즙,라임 주스,토닉 워터,레몬",4,2,vodka,0,1,0,0
180,"얼음,앱솔루트 보드카,클로브 비터스,릴렛 블랑,설탕 시럽,오렌지",4,1,vodka,0,0,0,0
181,"앱솔루트 보드카,황설탕,라즈베리",4,1,vodka,0,1,0,0
182,"얼음,앱솔루트 바니리아,소다수,라임 주스,라임,바닐라",3,2,vodka,0,0,0,0
183,"잘게 부순 얼음,앱솔루트 보드카,블랙 커런트 리큐어,라즈베리 퓌레,레몬 주스,슈가시럽,샴페인,블랙베리",2,5,vodka|champagne,0,1,0,0
184,"얼음,앱솔루트 보드카,라임 주스,핫 소스,진저비어,라임",4,1,vodka,0,0,1,0
185,"잘게 부순 얼음,앱솔루트 보드카,수박,슈가시럽,라임 주스",3,4,vodka,0,0,0,1
186,"얼음,앱솔루트 맨드린,오렌지 주스,크랜베리 주스,라임,오렌지",2,3,vodka,0,0,1,0
187,"얼음,앱솔루트 시트론,소다수,라임 주스,라임,레몬",3,2,vodka,0,0,0,0
188,"얼음,앱솔루트 라즈베리,화이트 카카오 리큐어,슈가시럽,라즈베리",3,4,vodka,0,0,0,1
189,"얼음,앱솔루트 시트론,레몬 주스,트리플 섹,슈가시럽,레몬 껍질",3,4,vodka,0,1,0,0
190,"얼음,앱솔루트 망고,레몬 주스,슈가시럽,망고",2,3,vodka,0,0,0,0
191,"얼음,앱솔루트 어피치,파인애플 리큐어,오렌지 소다,복숭아",1,1,vodka,0,1,0,0
192,"얼음,앱솔루트 바니리아,애플 주스,레몬 주스,스위트 버무스,슈가시럽,패션 프루트",4,2,vodka,0,0,1,0
193,"얼음,앱솔루트 그레이프프루트,화이트 와인,레몬 주스,아가베 넥타,포도",3,2,vodka,0,0,0,0
194,"얼음,앱솔루트 그레이프프루트,라임 주스,진저비어,그레이프프루트",4,1,vodka,0,0,1,0
195,"얼음,앱솔루트 보드카,토닉 워터,라임",2,1,vodka,0,0,0,0
196,"얼음,앱솔루트 바니리아,애플 주스,레몬 주스,슈가시럽,사과,계피",2,4,vodka,0,0,0,1
197,"얼음,앱솔루트 바니리아,에그 노그,콜드 브루 커피,깔루아",3,1,vodka,0,0,0,0
198,"얼음,앱솔루트 루비 레드,크랜베리 주스,크렘 드 피치,노일리 프라트,그레이프프루트",2,3,vodka,1,0,0,0
199,"얼음,진(올드 톰),앱솔루트 엘릭스,릴렛 블랑,레몬 껍질",5,1,vodka,0,0,0,0
200,"얼음,앱솔루트 보드카,블루 큐라소,엘더플라워 리큐르,레몬 주스,토닉 워터,레몬",3,3,vodka,0,0,1,0
201,"얼음,앱솔루트 보드카,라이치 리큐어,슈가시럽,샴페인,라이치",4,2,vodka|champagne,0,1,0,0
202,"얼음,앱솔루트 보드카,커피 원두,우유,슈가시럽",4,2,vodka,0,0,0,0
203,"얼음,앱솔루트 보드카,크림 리큐어,깔루아",3,4,vodka,1,0,0,0
204,"얼음,앱솔루트 보드카,레몬 주스,복숭아 리큐어,크랜베리 주스",4,1,vodka,0,1,0,0
205,"얼음,앱솔루트 라즈베리,우유,딸기 리큐어",1,3,vodka,1,0,0,0
206,"얼음,앱솔루트 그레이프프루트,콜드 브루 커피,슈가시럽,그레이프프루트",3,1,vodka,0,0,0,0
207,"얼음,앱솔루트 어피치,아이스 티,레몬",3,2,vodka,0,1,0,0
208,"얼음,앱솔루트 보드카,오이,레몬 주스,설탕 시럽,릴렛 블랑,수즈,샴페인,어린 가지 민트",4,1,vodka|champagne,0,0,0,0
209,"얼음,앱솔루트 그레이프프루트,민트 시럽,레몬,소다수,어린 가지 민트",4,1,vodka,0,1,0,0
210,"얼음,말리부 럼,앱솔루트 보드카,레몬에이드,민트",1,4,vodka,0,1,0,0
211,"얼음,앱솔루트 주스 애플,소다수,스파클링 와인,사과",2,3,vodka,0,1,0,0
212,"얼음,앱솔루트 바니리아,사과즙,라임 주스,사이다,라임",2,2,vodka,0,1,0,0
213,"얼음,앱솔루트 패션프루트,검붉은 오렌지 주스,라임 주스,슈가시럽,패션 프루트",4,2,vodka,0,0,0,0
214,"얼음,앱솔루트 바니리아,아마레또,우유,아몬드,초콜릿,바닐라",2,3,vodka,0,1,0,0
215,"얼음,말리부 럼,앱솔루트 보드카,아이스 티,소다수,오렌지",2,4,vodka,0,1,0,0
216,"얼음,앱솔루트 보드카,오렌지 주스,트리플 섹,캄파리,슈가시럽,오렌지",1,4,vodka,1,0,0,0
217,"얼음,앱솔루트 워터멜론,라임 주스,슈가시럽,소다수,바질",4,2,vodka,0,0,0,0
218,"얼음,앱솔루트 보드카,크림,크림 리큐어,깔루아",2,4,vodka,1,0,0,0
219,"얼음,앱솔루트 맨드린,자몽주스,크랜베리 주스,라임",2,3,vodka,0,0,0,1
220,"얼음,앱솔루트 100,라마조티,깔루아,그레이프프루트",5,2,vodka,0,0,0,0
221,"앱솔루트 바니리아,패션프루트 퓨레,바닐라 시럽,파인애플,패션 프루트",4,2,vodka,0,1,0,0
222,"얼음,앱솔루트 보드카,라즈베리 퓌레,소다수,라즈베리,레몬",4,2,vodka,0,1,0,0
223,"얼음,앱솔루트 보드카,비프 콩소메,레몬 주스,우스터 소스,핫 소스",3,1,vodka,1,0,0,0
224,"얼음,앱솔루트 패션프루트,매실주,라임 주스,설탕 시럽,그레이프프루트",4,1,vodka,0,0,0,0
225,"앱솔루트 보드카,커피,레드 와인,슈가시럽",2,1,vodka,0,1,0,0
226,"얼음,앱솔루트 보드카,깔루아,체리 시럽,콜라,체리",3,3,vodka,0,0,1,0
227,"얼음,앱솔루트 라임,소다수,라임 주스,라임",4,2,vodka,0,0,0,0
228,"얼음,앱솔루트 보드카,오렌지 주스,라즈베리 주스,캄파리,레몬첼로,사이다,레몬,어린 가지 민트,라즈베리,블랙베리",1,3,vodka,0,1,0,0
229,"얼음,앱솔루트 큐란트,앱솔루트 시트론,라임 주스,진저비어,어린 가지 블랙 커런트",3,2,vodka,0,1,0,0
230,"얼음,앱솔루트 보드카,블루 큐라소,레몬에이드,레몬",4,4,vodka,0,1,0,0
231,"얼음,잘게 부순 얼음,앱솔루트 큐란트,크렘 드 카시스,레몬 주스,블랙 커런트 리큐어",4,4,vodka,0,1,0,0
232,"얼음,앱솔루트 보드카,코코넛 크림,바닐라 아이스크림,아몬드향 리큐어,체리",1,3,vodka,0,1,0,0
233,"얼음,앱솔루트 바니리아,레몬 주스,레몬첼로,버터스카치 슈납스,바닐라 시럽",4,2,vodka,0,1,0,0
234,"얼음,앱솔루트 페퍼,소다수,라임 주스,라임,칠레 고추",3,2,vodka,0,1,0,0
235,"얼음,앱솔루트 라임,애플 주스,라임 주스,슈가시럽,말차 파우더,어린 가지 민트",2,3,vodka,0,0,0,0
236,"얼음,앱솔루트 그레이프프루트,소다수,그레이프프루트",2,3,vodka,0,0,0,0
237,"얼음,앱솔루트 망고,레몬 주스,슈가시럽,레몬",4,2,vodka,0,1,0,0
238,"얼음,앱솔루트 보드카,크랜베리 주스,석류 주스,라임 주스,오렌지",4,2,vodka,0,0,1,0
239,"얼음,앱솔루트 라즈베리,트리플 섹,자몽주스,레몬 주스,그레이프프루트,라즈베리",4,4,vodka,0,1,0,0
240,"얼음,앱솔루트 라임,수박 주스,라임 주스,슈가시럽,민트",4,2,vodka,0,0,1,0
241,"얼음,앱솔루트 맨드린,앱솔루트 라즈베리,라임 주스,진저비어,라임",3,2,vodka,0,1,0,0
